Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,0.110,0.110,0.105,0.108,0.111,0.108,0.108,0.104,0.104,0.105,0.102,0.102
2004,0.102,0.101,0.100,0.100,0.103,0.103,0.103,0.104,0.104,0.103,0.101,0.101
2005,0.102,0.102,0.102,0.102,0.108,0.109,0.108,0.109,0.108,0.109,0.107,0.107
2006,0.114,0.119,0.120,0.121,0.126,0.125,0.125,0.125,0.125,0.127,0.123,0.123
2007,0.123,0.123,0.121,0.122,0.126,0.127,0.127,0.127,0.127,0.127,0.125,0.125
2008,0.125,0.125,0.126,0.126,0.131,0.130,0.131,0.131,0.131,0.134,0.130,0.129
2009,0.131,0.131,0.132,0.132,0.139,0.138,0.139,0.139,0.138,0.141,0.136,0.137
2010,0.136,0.137,0.141,0.140,0.146,0.143,0.143,0.143,0.143,0.144,0.139,0.140
2011,0.141,0.141,0.142,0.143,0.148,0.145,0.145,0.145,0.145,0.146,0.143,0.142
2012,0.142,0.142,0.143,0.143,0.148,0.147,0.148,0.148,0.147,0.151,0.146,0.146
2013,0.151,0.152,0.152,0.149,0.155,0.155,0.155,0.155,0.156,0.157,0.153,0.154
2014,0.154,0.154,0.154,0.140,0.160,0.163,0.162,0.161,0.160,0.159,0.154,0.153
2015,0.156,0.155,0.155,0.156,0.161,0.161,0.161,0.161,0.159,0.159,0.152,0.151
2016,0.154,0.155,0.156,0.156,0.155,0.156,0.157,0.158,0.157,0.158,0.150,0.150
2017,0.150,0.150,0.151,0.153,0.158,0.157,0.157,0.157,0.157,0.158,0.152,0.153
2018,0.151,0.152,0.153,0.153,0.154,0.155,0.156,0.156,0.153,0.155,0.152,0.152
2019,0.151,0.151,0.152,0.152,0.156,0.157,0.158,0.157,0.155,0.157,0.150,0.148
2020,0.151,0.152,0.152,0.151,0.156,0.155,0.157,0.157,0.156,0.158,0.160,0.160
2021,0.161,0.165,0.167,0.169,0.172,0.168,0.169,0.169,0.169,0.157,0.159,0.160
2022,0.165,0.165,0.173,0.171,0.173,0.172,0.172,0.173,0.173,0.185,0.181,0.182
2023,0.188,0.188,0.193,0.193,0.195,0.195,0.198,0.198,0.199,0.201,0.199,0.199
2024,0.207,0.208,0.211,0.211,0.213,0.212, , , , , , 
